Source,Type,Target,Weight
ПастернакБЛ,Directed,Сапфо,1
ПастернакБЛ,Directed,Феогнид,1
ПастернакБЛ,Directed,АнненскийИФ,3
ПастернакБЛ,Directed,ЛермонтовМЮ,8
ПастернакБЛ,Directed,АсеевНН,4
ПастернакБЛ,Directed,ПушкинАС,19
ПастернакБЛ,Directed,БлокАА,8
ПастернакБЛ,Directed,АпухтинАН,1
ПастернакБЛ,Directed,БаратынскийЕА,1
ПастернакБЛ,Directed,МаяковскийВВ,6
ПастернакБЛ,Directed,ГригорьевАА,1
ПастернакБЛ,Directed,АхматоваААА,1
ПастернакБЛ,Directed,ХлебниковВ
ПастернакБЛ,Directed,ФетАА,1
ПастернакБЛ,Directed,ГумилевНС,1
ПастернакБЛ,Directed,ЦветаеваМИ,1
ПастернакБЛ,Directed,БрюсовВЯ,1
ПастернакБЛ,Directed,ЯшвилиП,1
ПастернакБЛ,Directed,ШекспирУ,6
ПастернакБЛ,Directed,ЛенауН,1
ПастернакБЛ,Directed,ПоЭ,2
ПастернакБЛ,Directed,БайронД,1
ПастернакБЛ,Directed,КиплингР,1
ПастернакБЛ,Directed,ВерленПМ,1
ПастернакБЛ,Directed,ИбсенГ,1
ПастернакБЛ,Directed,ГейнеГ,1
ПастернакБЛ,Directed,ГетеИ,6
ПастернакБЛ,Directed,СуинбернАЧ, 2
ПастернакБЛ,Directed,КитсДж,1
ПастернакБЛ,Directed,РонсарП,1
ПастернакБЛ,Directed,ШиллерФ,1
ПастернакБЛ,Directed,РилькеРМ, 2
ПастернакБЛ,Directed,УитманУ,1
ТютчевФИ,Directed,Авзоний,1
ТютчевФИ,Directed,Гораций,1
ТютчевФИ,Directed,Гомер,5
ТютчевФИ,Directed,Вергилий,2
ТютчевФИ,Directed,Пиндар,1
ТютчевФИ,Directed,Алкей,1
ТютчевФИ,Directed,Цицерон,1
ТютчевФИ,Directed,ТассоТ,1
ТютчевФИ,Directed,КамоэнсЛд,1
ТютчевФИ,Directed,МильтонДж,1
ТютчевФИ,Directed,КлопштокФГ,1
ТютчевФИ,Directed,ШиллерФ,4
ТютчевФИ,Directed,ЛамартинА,1
ТютчевФИ,Directed,СиринЕфрем,1
ТютчевФИ,Directed,БайронД,3
ТютчевФИ,Directed,ГетеИ,6
ТютчевФИ,Directed,МандзониА,1
ТютчевФИ,Directed,ЛюдвигIБаварский,1
ТютчевФИ,Directed,ЛенауН,1
ТютчевФИ,Directed,ЭйхендорфЙ,1
ТютчевФИ,Directed,ГейнеГ,8
ТютчевФИ,Directed,УландЛ,1
ТютчевФИ,Directed,ГельдерлинФ,1
ТютчевФИ,Directed,Микеланджело,1
ТютчевФИ,Directed,БеранжеПЖ,1
ТютчевФИ,Directed,ГердерИГ,1
ТютчевФИ,Directed,ДержавинГР,1
ТютчевФИ,Directed,ПушкинАС,9
ТютчевФИ,Directed,ЖуковскийВА,4
ТютчевФИ,Directed,ЛомоносовМВ,1
ТютчевФИ,Directed,СушковНВ,1
ТютчевФИ,Directed,ЛермонтовМЮ,2
ТютчевФИ,Directed,БенедиктовВГ,1
